_className,_tableName,_isDic,*id,characterDataId,spawnPosition,level,faction,facing,hpBonusPercent,atkBonusPercent,defBonusPercent,resBonusPercent
UnitConfig,UnitConfigs,true,string,string,string,int,Global.FactionType,Global.UnitFacing,float,float,float,float
,,,u_hero_01,1,,1,Player,North,0,0,0,0
,,,u_enemy_zombie_01,2,"(6,1,3)",0,Enemy,North,0,0,0,0
,,,u_enemy_skeleton_01,3,"(1,3,3)",0,Enemy,North,0,0,0,0
,,,u_enemy_zombie_02,2,"(6,1,4)",0,Enemy,North,0,0,0,0
,,,u_enemy_skeleton_02,3,"(2,3,4)",0,Enemy,North,0,0,0,0
,,,u_enemy_zombie_lv2_01,2,"(7,1,3)",0,Enemy,North,0,0,0,0
,,,u_enemy_zombie_lv2_02,2,"(6,1,4)",0,Enemy,North,0,0,0,0
,,,u_enemy_skeleton_lv2_01,3,"(7,3,7)",0,Enemy,North,0,0,0,0
,,,u_enemy_skeleton_lv2_02,3,"(6,3,7)",0,Enemy,North,0,0,0,0
,,,u_enemy_zombie_lv3_01,2,"(3,0,4)",0,Enemy,North,0,0,0,0
,,,u_enemy_zombie_lv3_02,2,"(4,0,4)",0,Enemy,North,0,0,0,0
,,,u_enemy_skeleton_lv3_01,3,"(1,0,7)",0,Enemy,North,0,0,0,0
,,,u_enemy_skeleton_lv3_02,3,"(6,0,7)",0,Enemy,North,0,0,0,0
,,,u_enemy_zombie_cornell_01,2,"(4,0,5)",0,Enemy,North,0,0,0,0
,,,u_enemy_zombie_cornell_02,2,"(5,0,6)",0,Enemy,North,0,0,0,0
,,,u_fallback_01,1,,1,Player,North,0,0,0,0
